ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim,HCO_R
9,2,9.439e+04,9549,9.439e+04,9549,4.856e+04,4972,4.326e+04,4458,9.439e+04,9549,32.4,1.192,32.4,1.192,34.35,2.103,37.47,2.513,32.4,1.192,19.78,9.871,22.5,11.48,2663,718.7,11.11
10,2,3034,399.2,3034,399.2,2704,328.6,1771,253.7,3034,399.2,19.35,0.7155,19.35,0.7155,8.737,0.4252,7.368,0.3819,19.35,0.7155,3.263,2.475,3.418,0.6152,88.76,54.24,2.563
11,2,2.646e+04,2752,2.646e+04,2752,2.308e+04,2384,1.859e+04,1953,2.646e+04,2752,21.5,0.7449,21.5,0.7449,19,0.7323,19.39,0.8949,21.5,0.7449,22.77,3.973,15.15,8.186,747.4,236.2,9.838
12,2,6.666e+04,6788,6.666e+04,6788,4.65e+04,4757,5.299e+04,5395,6.666e+04,6788,36.41,1.54,36.41,1.54,33.43,1.605,29.57,1.202,36.41,1.54,11.6,23.89,26.88,13,2534,638.5,16.75
13,2,1.415e+04,1524,1.415e+04,1524,1.365e+04,1435,1.224e+04,1303,1.415e+04,1524,28.5,1.137,28.5,1.137,16.48,0.6707,18.45,0.8543,28.5,1.137,6.838,5.124,9.106,1.666,393.7,135.6,5.677
14,2,3.577e+04,3694,3.577e+04,3694,1.345e+04,1523,1.246e+04,1434,3.577e+04,3694,27.01,1.022,27.01,1.022,26.18,0.9551,25.44,0.9206,27.01,1.022,28.52,7.086,22.9,12.73,1386,432.8,8.246
15,2,2.659e+04,2778,2.659e+04,2778,1.467e+04,1581,1.434e+04,1557,2.659e+04,2778,31.36,1.315,31.36,1.315,25.16,1.132,27.72,1.44,31.36,1.315,10.94,5.095,11.73,6.051,875.8,313,2.964
16,2,2.123e+04,2242,2.123e+04,2242,7005,896.7,6213,835,2.123e+04,2242,19.12,0.7576,19.12,0.7576,18.86,0.7406,19.92,0.9615,19.12,0.7576,6.799,11.35,13.94,5.414,1109,353.7,12.81
17,2,4136,517.3,4136,517.3,3703,436.9,4412,501.7,4136,517.3,25.16,1.127,25.16,1.127,13.04,0.7098,18.94,0.7556,25.16,1.127,3.779,2.469,3.872,0.6557,175.3,97.19,4.057
18,2,7339,850.9,7339,850.9,6464,729.8,4763,585.2,7339,850.9,16.77,0.7146,16.77,0.7146,15.91,0.7763,16.63,0.8823,16.77,0.7146,7.383,10.25,13.79,6.197,419.2,219.2,9.161
19,2,8667,981,8667,981,6379,729.3,7485,831.8,8667,981,21.14,0.7996,21.14,0.7996,14.22,0.9069,13.54,0.7664,21.14,0.7996,4.687,4.043,6.357,1.585,309.1,137.9,2.667
20,2,5354,647.7,5354,647.7,2677,391.7,3014,417.5,5354,647.7,16.83,0.6904,16.83,0.6904,14.2,0.7771,15.37,0.8319,16.83,0.6904,2.252,5.187,4.606,2.225,247.1,122.1,2.047
21,2,3494,454.8,3494,454.8,1453,270.9,1293,263.8,3494,454.8,13.05,0.5236,13.05,0.5236,13.3,0.6794,13.06,0.5368,13.05,0.5236,3.688,4.335,5.708,0.7544,215.5,106.2,4.327
22,2,2788,382.9,2788,382.9,430.9,154.9,234.3,136.6,2788,382.9,10.64,0.4201,10.64,0.4201,7.661,0.2771,1.341,2.131,10.64,0.4201,3.793,4.525,5.975,1.16,206.9,140.1,3.233
23,2,3680,474.1,3680,474.1,1624,275.5,1655,282.5,3680,474.1,20.2,0.7965,20.2,0.7965,10.53,0.5818,10.58,0.574,20.2,0.7965,5.51,3.093,5.948,1.175,128.7,68.94,4.776
24,2,3368,445.2,3368,445.2,1415,269.2,1675,285.4,3368,445.2,20.17,0.7923,20.17,0.7923,18.91,0.8009,20.48,0.9938,20.17,0.7923,4.241,2.752,4.603,1.576,122.3,72.33,4.136
25,2,4274,540.8,4274,540.8,1974,323.8,1938,325.1,4274,540.8,14.56,0.6182,14.56,0.6182,13.33,0.4586,13.64,0.4618,14.56,0.6182,3.555,7.804,7.978,4.01,272.3,126.6,5.101
26,2,1101,200.2,1101,200.2,499.8,140.8,494.2,141.6,1101,200.2,11.95,0.4797,11.95,0.4797,12.46,0.617,12.16,0.6001,11.95,0.4797,1.853,2.924,2.16,0.7703,51.72,37.29,0.7239
27,2,4651,586.8,4651,586.8,2149,343.9,1993,337.4,4651,586.8,11.01,0.4725,11.01,0.4725,9.715,0.5591,10.94,0.6925,11.01,0.4725,10.51,6.282,12.84,5.014,437.1,196.6,6.675
28,2,7087,835.7,7087,835.7,416.7,207.9,493.6,223.6,7087,835.7,15.81,0.6691,15.81,0.6691,1.641,0.7689,9.131,0.9122,15.81,0.6691,19.41,6.638,18.19,11.29,676.6,428.3,13.36
29,2,3041,421.9,3041,421.9,166.9,126.8,253.9,143,3041,421.9,11.11,0.4949,11.11,0.4949,3.581,0.1895,7.017,0.3613,11.11,0.4949,6.155,7.075,10.27,3.159,249.7,157.1,8.179
30,2,7299,859.8,7299,859.8,914.8,278.3,867.4,270.7,7299,859.8,14.8,0.6661,14.8,0.6661,16.16,1.178,2.031,0.4397,14.8,0.6661,2.128,3.621,3.271,1.581,791.8,436.2,21.27
31,2,208.3,77.47,208.3,77.47,33.37,52.83,34.08,50.37,208.3,77.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.524,1.985,1.893,1.198,28.42,28.25,0.4655
32,2,1160,210.9,1160,210.9,824.5,140.2,952.9,151.2,1160,210.9,19.59,0.8625,19.59,0.8625,10.04,0.8367,10.55,0.7373,19.59,0.8625,2.494,1.589,0.9027,1.575,47.89,42.94,1.251
33,2,718.4,158.8,718.4,158.8,288.3,113.3,199.7,108.6,718.4,158.8,7.364,0.3148,7.364,0.3148,7.011,0.4198,7.771,0.5185,7.364,0.3148,5.811,2.709,5.651,3.475,80.46,67.81,5.06
34,2,260.6,87.33,260.6,87.33,53.34,59.42,44.47,60.03,260.6,87.33,6.061,0.2466,6.061,0.2466,5.861,0.2451,6.809,0.4471,6.061,0.2466,2.656,1.447,0.7063,3.311,27.46,27.12,nan
35,2,170,70.36,170,70.36,nan,nan,4.799,19.5,170,70.36,4.813,0.1816,4.813,0.1816,nan,nan,5.459,0.3722,4.813,0.1816,1.743,1.472,nan,0.4115,17.24,21.47,nan
36,2,2.498e+04,2637,2.498e+04,2637,nan,nan,nan,nan,2.498e+04,2637,12.39,0.5584,12.39,0.5584,nan,nan,nan,nan,12.39,0.5584,35.67,17.68,40.7,10.67,2923,1373,35.87
37,2,3236,442.5,3236,442.5,88.68,114.2,281.2,158.9,3236,442.5,14.72,0.643,14.72,0.643,0.8525,5.386e+04,15.38,1.237,14.72,0.643,7.411,2.78,6.692,4.205,310.7,221.5,8.08
38,2,158.6,68.22,158.6,68.22,39.12,50.81,26.23,43.68,158.6,68.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.452,1.584,0.7771,3.934,26.82,31.64,nan
39,2,610.2,141.9,610.2,141.9,152.4,98.6,128.4,94.24,610.2,141.9,4.854,0.1881,4.854,0.1881,4.429,0.2532,4.718,0.1927,4.854,0.1881,4.938,2.791,5.173,1.477,83.65,57.64,4.493
40,2,2436,358.1,2436,358.1,519.1,191,490.4,185.2,2436,358.1,17.18,0.7535,17.18,0.7535,18.28,1.213,2.988,0.4014,17.18,0.7535,3.401,13.23,10.45,6.001,250.6,178.6,6.032
41,2,150.7,65.78,150.7,65.78,78.66,51.01,89.17,51.57,150.7,65.78,4.805,0.1819,4.805,0.1819,5.137,0.2629,4.596,0.1555,4.805,0.1819,2.435,1.827,1.45,1.216,25.22,24.86,1.473
42,2,327.4,101.1,327.4,101.1,74.7,70.72,45.26,57.73,327.4,101.1,4.886,0.1964,4.886,0.1964,4.783,0.1747,3.688,0.1798,4.886,0.1964,3.476,1.832,2.678,2.742,45.34,40.68,1.758
43,2,1231,224.1,1231,224.1,154.2,105.2,82.4,89.42,1231,224.1,4.905,0.1987,4.905,0.1987,4.896,0.3336,1.859,0.3861,4.905,0.1987,3.294,6.61,6.92,4.158,158,108.5,2.892
44,2,143.1,64.62,143.1,64.62,51.71,49.86,39.92,48.77,143.1,64.62,3.601,0.1188,3.601,0.1188,3.429,0.1665,3.556,0.1321,3.601,0.1188,2.101,1.229,nan,1.032,20.11,22.6,nan
45,2,296.5,95.96,296.5,95.96,104.9,72.59,139.9,73.73,296.5,95.96,8.772,0.4141,8.772,0.4141,9.236,0.5286,8.794,0.4695,8.772,0.4141,1.965,1.212,nan,0.5632,28.74,32.77,nan
46,2,335.1,103,335.1,103,32.19,47.78,15.14,40.05,335.1,103,4.859,0.1887,4.859,0.1887,4.638,0.1613,3.985,0.1514,4.859,0.1887,4.815,1.743,3.538,2.58,44.06,48.59,2.568
47,2,129.7,60.88,129.7,60.88,50.77,45.65,42.11,45.62,129.7,60.88,3.642,0.1286,3.642,0.1286,4.04,0.2394,3.342,0.08731,3.642,0.1286,3.388,1.008,nan,2.661,23.63,31.64,nan
48,2,446,120.4,446,120.4,111.3,82.67,109.6,82.63,446,120.4,7.379,0.3177,7.379,0.3177,6.913,0.3664,6.06,0.4249,7.379,0.3177,2.027,1.498,nan,0.7534,44.38,44.07,2.23
49,2,146.1,64.68,146.1,64.68,nan,nan,nan,nan,146.1,64.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.499,1.576,2.217,1.448,28.42,29.38,nan
50,2,1233,225.9,1233,225.9,224,130.2,198.7,117.4,1233,225.9,11.44,0.5694,11.44,0.5694,10.99,0.7667,8.839,0.5367,11.44,0.5694,3.271,2.545,3.513,1.527,105.4,71.2,2.775
51,2,963.5,191.3,963.5,191.3,267.5,129.1,159.5,107.7,963.5,191.3,8.522,0.3554,8.522,0.3554,8.641,0.3855,8.739,0.5315,8.522,0.3554,6.266,2.528,5.675,4.063,109.8,98.32,5.887
52,2,6119,742.1,6119,742.1,491.3,199.3,753,239.1,6119,742.1,13.69,0.6306,13.69,0.6306,1.631,0.3842,1.786,0.4547,13.69,0.6306,16.17,4.785,13.96,7.97,566.7,331.1,8.7
53,2,182.5,73.36,182.5,73.36,nan,nan,nan,nan,182.5,73.36,4.799,0.1766,4.799,0.1766,nan,nan,nan,nan,4.799,0.1766,2.885,1.436,1.136,3.349,22.67,23.73,nan
54,2,95.35,52.19,95.35,52.19,0.5904,13.68,18.12,34.61,95.35,52.19,nan,nan,nan,nan,0.5308,inf,nan,nan,nan,nan,1.37,1.9,nan,0.8456,14.37,16.95,nan
55,2,1050,201.8,1050,201.8,5.073,74.93,23.12,77.85,1050,201.8,11.15,0.5053,11.15,0.5053,3.28,0.3473,2.883,0.3187,11.15,0.5053,1.692,4.57,3.284,3.254,89.08,61.03,1.479
